urn,label,description,data,link
urn:cite2:exploreHomer:place.v1:place65,Kasios (river),"An ancient place, cited: BAtlas 88 G3 Kasios fl.","commenting=""Commanders: Pheidippos, Antiphos"" coordinates=""48.5, 41.5""",https://pleiades.stoa.org/places/863823
urn:cite2:hmt:place.v1:place30,Boeotia,region containing the Greek Thebes,"tagging=""Boeotians"" commenting=""Commanders: Arkesilaos, Prothoenor, Klonios"" coordinates=""23.184677533333, 38.346688033333""",https://pleiades.stoa.org/places/540689
urn:cite2:hmt:place.v1:place101,Aegina,"Island off the western coast of Attica, formerly known as Oenone","tagging=""Argolis"" commenting=""Commanders: Diomedes, Sthenelos, Euryalos"" coordinates=""23.42372, 37.74991""",https://pleiades.stoa.org/places/579844
urn:cite2:hmt:place.v1:place171,Iolcus,city in Thessaly,"tagging=""Pheraians"" commenting=""Commander: Admetos"" coordinates=""22.96886, 39.366305""",https://pleiades.stoa.org/places/540837
urn:cite2:hmt:place.v1:place150,Locris Ozolia,"home of the Ozolae, tribe of Locrians","tagging=""Locrians"" commenting=""Commander: Ajax Oileus"" coordinates=""21.75, 38.25""",https://pleiades.stoa.org/places/540919
urn:cite2:hmt:place.v1:place257,Selleeis,"or Selleis,a river in the Troad near Arisbe","coordinates=""26.75, 40.25""",https://pleiades.stoa.org/places/501604
urn:cite2:hmt:place.v1:place344,Dorion,"or Dorio, a town in the Peloponnese where Thamyris contested with the Muses","tagging=""Pylos"" commenting=""Commander: Nestor"" coordinates=""21.88255, 37.26708""",https://pleiades.stoa.org/places/570202
urn:cite2:hmt:place.v1:place318,Scarphe,"a place in Locris, near Thermopylae","tagging=""Locrians"" commenting=""Commander: Ajax Oileus"" coordinates=""22.6834197, 38.81072""",https://pleiades.stoa.org/places/541103
urn:cite2:exploreHomer:place.v1:place66,Abydon/Amydon,"An ancient place, cited: BAtlas 50 unlocated Abydon § Amydon","tagging=""Paeonians"" commenting=""Commander: Pyraikhmes""",https://pleiades.stoa.org/places/494527
urn:cite2:hmt:place.v1:place75,Lycia,region in Anatolia,"tagging=""Lycians"" commenting=""Commanders: Sarpedon, Glaukos"" coordinates=""29.25, 36.75""",https://pleiades.stoa.org/places/638965
urn:cite2:exploreHomer:place.v1:place67,Caria (region),A historical region of western Anatolia.,"tagging=""Carians"" commenting=""Commanders: Nastes"" coordinates=""27.75, 37.75""",https://pleiades.stoa.org/places/599564
urn:cite2:hmt:place.v1:place173,Delphi,Home of Pythian oracle; sacred to Apollo,"tagging=""Phocaeans"" commenting=""Commanders: Schedios, Epistrophos"" coordinates=""22.501169, 38.482289""",https://pleiades.stoa.org/places/540726
urn:cite2:hmt:place.v1:place195,Daulis,city in Phocis,"tagging=""Phocaeans"" commenting=""Commanders: Schedios, Epistrophos"" coordinates=""22.72926, 38.50665""",https://pleiades.stoa.org/places/540723
urn:cite2:hmt:place.v1:place330,Asine,a town in Argolis,"tagging=""Argolis"" commenting=""Commanders: Diomedes, Sthenelos, Euryalos"" coordinates=""22.87403, 37.52659""",https://pleiades.stoa.org/places/570124
urn:cite2:hmt:place.v1:place351,Stymphalus,a small city in Arcadia,"tagging=""Arcadians"" commenting=""Commander: Agapenor"" coordinates=""22.45931, 37.85932""",https://pleiades.stoa.org/places/570696
urn:cite2:exploreHomer:place.v1:place68,Arene/Arena,"An ancient settlement, attested by literary or documentary sources, whose precise location cannot be determined today","tagging=""Pylos"" commenting=""Commander: Nestor""",https://pleiades.stoa.org/places/573114
urn:cite2:exploreHomer:place.v1:place28,Titaresios (river),"An ancient place, cited: BAtlas 55 C1 Titaresios fl.","coordinates=""22.25, 39.75""",https://pleiades.stoa.org/places/541151
urn:cite2:hmt:place.v1:place394,Peneus,"or Peneius, a river in Thessaly","coordinates=""21.75, 39.75""",https://pleiades.stoa.org/places/541022
urn:cite2:hmt:place.v1:place257,Selleeis,"or Selleis,a river in the Troad near Arisbe","coordinates=""26.75, 40.25""",https://pleiades.stoa.org/places/501604
urn:cite2:exploreHomer:place.v1:place69,Paionia,"An ancient place, cited: BAtlas 50 A1 Paionia","tagging=""Paeonians"" commenting=""Commander: Pyraikhmes"" coordinates=""21.75, 41.75""",https://pleiades.stoa.org/places/491680
urn:cite2:exploreHomer:place.v1:place70,Ilion,"An ancient place, cited: BAtlas 50 unlocated Ilion",,https://pleiades.stoa.org/places/494571
urn:cite2:exploreHomer:place.v1:place71,Thebe,"An ancient place, cited: BAtlas 56 E2 Thebe","coordinates=""27.020171, 39.597431""",https://pleiades.stoa.org/places/550919
urn:cite2:hmt:place.v1:place188,Bessa,"or Besa, in Locris","tagging=""Locrians"" commenting=""Commander: Ajax Oileus""",https://pleiades.stoa.org/places/543653
urn:cite2:exploreHomer:place.v1:place72,Rhipe/Rhype,"An ancient place, cited: BAtlas 58 unlocated Rhipe/Rhype Ins.","tagging=""Arcadians"" commenting=""Commander: Agapenor""",https://pleiades.stoa.org/places/573502
urn:cite2:hmt:place.v1:place120,Miletus,city in the Anatolia province of modern-day Turkey,"tagging=""Cretans"" commenting=""Commander: Idomeneus"" coordinates=""27.2774885, 37.5292362""",https://pleiades.stoa.org/places/599799
urn:cite2:hmt:place.v1:place362,Lyctus,"a city in Crete, east of Cnosus","tagging=""Cretans"" commenting=""Commander: Idomeneus"" coordinates=""25.368687, 35.207811""",https://pleiades.stoa.org/places/589918
urn:cite2:hmt:place.v1:place376,Trachis,town in Thessaly,"tagging=""Myrmidons"" commenting=""Commander: Achilles"" coordinates=""22.442503, 38.790767""",https://pleiades.stoa.org/places/541157
urn:cite2:exploreHomer:place.v1:place73,Asterion/Peirasia,"An ancient place, cited: BAtlas 55 C2 Asterion/Peirasia","commenting=""Commander: Eurypylos"" coordinates=""22.102561, 39.423219""",https://pleiades.stoa.org/places/540674
urn:cite2:hmt:place.v1:place6,Ilium,ancient name for Troy,"tagging=""Trojans"" commenting=""Commander: Hektor"" coordinates=""26.23873, 39.9577""",https://pleiades.stoa.org/places/550595
urn:cite2:exploreHomer:place.v1:place74,Eryth(r)inoi,"An ancient place, cited: BAtlas 86 C2 Eryth(r)inoi","tagging=""Paphlagonians"" commenting=""Commander: Pylaimenes"" coordinates=""32.484075, 41.779469""",https://pleiades.stoa.org/places/844918
urn:cite2:hmt:place.v1:place326,Styra,a town in Euboea,"tagging=""Abantes"" commenting=""Commander: Elphenor"" coordinates=""24.2607, 38.1455""",https://pleiades.stoa.org/places/541117
urn:cite2:hmt:place.v1:place100,Euboea,"the island separated from Boeotia by the Euripus, named by Homer as the home of the Abantes","tagging=""Abantes"" commenting=""Commander: Elphenor"" coordinates=""23.87, 38.53""",https://pleiades.stoa.org/places/540775
urn:cite2:hmt:place.v1:place325,Carystus,"or Karystos, a town at the southern extremity of Euboea","tagging=""Abantes"" commenting=""Commander: Elphenor"" coordinates=""24.4204, 38.0165""",https://pleiades.stoa.org/places/570336
urn:cite2:hmt:place.v1:place100,Euboea,"the island separated from Boeotia by the Euripus, named by Homer as the home of the Abantes","tagging=""Abantes"" commenting=""Commander: Elphenor"" coordinates=""23.87, 38.53""",https://pleiades.stoa.org/places/540775
urn:cite2:exploreHomer:place.v1:place75,Maliacus Sinus,Maliacus Sinus (Malian Gulf) is a gulf of the Aegean Sea in eastern central Greece. The gulf is located in the region of Phthiotis.,"tagging=""Argolis"" commenting=""Commanders: Diomedes, Sthenelos, Euryalos"" coordinates=""22.6337672, 38.8678937""",https://pleiades.stoa.org/places/540929
urn:cite2:hmt:place.v1:place84,Phaestus,city on Crete,"tagging=""Cretans"" commenting=""Commander: Idomeneus"" coordinates=""24.8143, 35.05138""",https://pleiades.stoa.org/places/589987
urn:cite2:hmt:place.v1:place3,Hellas,Greece,"tagging=""Myrmidons"" commenting=""Commander: Achilles"" coordinates=""22.5, 37.5""",https://pleiades.stoa.org/places/1001896
urn:cite2:hmt:place.v1:place5,Mycenae,city in the Peloponnese,"tagging=""Mycenaeans"" commenting=""Commander: Agamemnon"" coordinates=""22.756111, 37.730833""",https://pleiades.stoa.org/places/570491
urn:cite2:exploreHomer:place.v1:place76,Pherai,"An Archaic period to Roman period settlement located near Kalamata, Messinia in the Peloponnese.","tagging=""Pheraians"" commenting=""Commander: Admetos"" coordinates=""22.25, 37.25""",https://pleiades.stoa.org/places/570596
urn:cite2:exploreHomer:place.v1:place77,Dodona,"An ancient settlement, attested by literary or documentary sources, whose precise location cannot be determined today","tagging=""Peraebi"" commenting=""Commander: Guneus""",https://pleiades.stoa.org/places/543686
urn:cite2:hmt:place.v1:place57,Pelion,mountain in Southeast Thessaly,"coordinates=""23.0465058, 39.43722""",https://pleiades.stoa.org/places/541021
urn:cite2:exploreHomer:place.v1:place6,Oichalia?,"An ancient place, cited: BAtlas 55 G3 Oichalia?","coordinates=""24.099827, 38.602679""",https://pleiades.stoa.org/places/540971
urn:cite2:hmt:place.v1:place44,attos,port city in the Peloponnese,"tagging=""Argolis"" commenting=""Commanders: Diomedes, Sthenelos, Euryalos"" coordinates=""22.719464, 37.631561""",https://pleiades.stoa.org/places/570106
urn:cite2:hmt:place.v1:place333,Sicyon,a city on the south shore of the gulf of Corinth,"tagging=""Mycenaeans"" commenting=""Commander: Agamemnon"" coordinates=""22.71135, 37.98336""",https://pleiades.stoa.org/places/570668
urn:cite2:hmt:place.v1:place403,Axius,river in Macedonia,"tagging=""Paeonians"" commenting=""Commander: Pyraikhmes"" coordinates=""22.5226845, 41.0572437""",https://pleiades.stoa.org/places/491534
urn:cite2:hmt:place.v1:place119,Mycale,"a promontory in lydia Minor, opposite Samos","tagging=""Carians"" commenting=""Commander: Nastes"" coordinates=""27.12558, 37.66144""",https://pleiades.stoa.org/places/599805
urn:cite2:hmt:place.v1:place133,Graia,town in Boeotia,"tagging=""Boeotians"" commenting=""Commanders: Arkesilaos, Prothoenor, Klonios"" coordinates=""23.630098, 38.387159""",https://pleiades.stoa.org/places/540796
urn:cite2:hmt:place.v1:place311,Onchestus,"a town in Boeotia, sacred to Poseidon","tagging=""Boeotians"" commenting=""Commanders: Arkesilaos, Prothoenor, Klonios"" coordinates=""23.146959, 38.364863""",https://pleiades.stoa.org/places/540984
urn:cite2:exploreHomer:place.v1:place78,Chalkis,"An ancient place, cited: BAtlas 54 D2 Chalkis","tagging=""Abantes"" commenting=""Commander: Elphenor"" coordinates=""21.208974, 39.680546""",https://pleiades.stoa.org/places/530827
urn:cite2:hmt:place.v1:place176,Alpheius,river in Arcadia and Elis,"tagging=""Pylos"" commenting=""Commander: Nestor"" coordinates=""21.25, 37.75""",https://pleiades.stoa.org/places/570067
urn:cite2:exploreHomer:place.v1:place79,Pylene?,"An ancient place, cited: BAtlas 55 A4 Pylene?","tagging=""Aetolians"" commenting=""Commander: Thoas"" coordinates=""21.381502, 38.464548""",https://pleiades.stoa.org/places/541079
urn:cite2:exploreHomer:place.v1:place80,Gyrton(e),An ancient city of Thessaly.,"commenting=""Commanders: Polypoites, Leonteus"" coordinates=""22.569853, 39.798151""",https://pleiades.stoa.org/places/540798
urn:cite2:exploreHomer:place.v1:place81,Salamis,"An ancient place, cited: BAtlas 59 B3 Salamis","commenting=""Commander: Ajax"" coordinates=""23.5314735, 37.947768""",https://pleiades.stoa.org/places/580100
urn:cite2:exploreHomer:place.v1:place82,Perraibia,"An ancient place, cited: BAtlas 55 B1 Perraibia","tagging=""Peraebi"" commenting=""Commander: Guneus"" coordinates=""21.75, 39.75""",https://pleiades.stoa.org/places/541027
urn:cite2:hmt:place.v1:place212,Magnesia,region in North Eastern Greece,"tagging=""Magnetes"" commenting=""Commander: Prothoos"" coordinates=""22.75, 39.75""",https://pleiades.stoa.org/places/540923
urn:cite2:exploreHomer:place.v1:place83,Cytorus M.,"An ancient place, cited: BAtlas 86 C2 Cytorus M.","tagging=""Paphlagonians"" commenting=""Commander: Pylaimenes"" coordinates=""32.8960606, 41.8111899""",https://pleiades.stoa.org/places/844898
urn:cite2:hmt:place.v1:place29,Aulis,town in Boeotia,"tagging=""Boeotians"" commenting=""Commanders: Arkesilaos, Prothoenor, Klonios"" coordinates=""23.5925, 38.4335""",https://pleiades.stoa.org/places/579889
urn:cite2:hmt:place.v1:place184,Eutresis,a town in Boeotia,"tagging=""Boeotians"" commenting=""Commanders: Arkesilaos, Prothoenor, Klonios"" coordinates=""23.20466, 38.268249""",https://pleiades.stoa.org/places/540787
urn:cite2:exploreHomer:place.v1:place84,Medeon,"An ancient place, cited: BAtlas 55 D4 Medeon","tagging=""Boeotians"" commenting=""Commanders: Arkesilaos, Prothoenor, Klonios"" coordinates=""22.6827, 38.36754""",https://pleiades.stoa.org/places/540939
urn:cite2:hmt:place.v1:place140,Haliartus,"aka Aliartos, town in Boeotia","tagging=""Boeotians"" commenting=""Commanders: Arkesilaos, Prothoenor, Klonios"" coordinates=""23.088416, 38.379818""",https://pleiades.stoa.org/places/540801
urn:cite2:hmt:place.v1:place154,Abantes,USE EPONYMOUS ANCESTOR INSTEAD,"tagging=""Abantes"" commenting=""Commander: Elphenor"" coordinates=""23.75, 38.75""",https://pleiades.stoa.org/places/540583
urn:cite2:hmt:place.v1:place338,Pharis,"town in Laconia, south of Amyclae","tagging=""Laconians"" commenting=""Commander: Menelaos"" coordinates=""22.2805645, 37.029321""",https://pleiades.stoa.org/places/570591
urn:cite2:exploreHomer:place.v1:place85,Aigialos,"An ancient place, cited: BAtlas 86 C2 Aigialos","tagging=""Paphlagonians"" commenting=""Commander: Pylaimenes"" coordinates=""33.002438, 41.891894""",https://pleiades.stoa.org/places/844852
urn:cite2:hmt:place.v1:place65,Elis,region of the Peloponnese,"tagging=""Elis"" commenting=""Commanders: Amphimakhos, Thalpios, Diores, Polyxenos"" coordinates=""21.37493, 37.89131""",https://pleiades.stoa.org/places/570220
urn:cite2:exploreHomer:place.v1:place86,*Pityaia,"An ancient place, cited: BAtlas 56 F3 *Pityaia","commenting=""Commander: Adrastos"" coordinates=""27.817113, 38.97582""",https://pleiades.stoa.org/places/550834
urn:cite2:hmt:place.v1:place57,Pelion,mountain in Southeast Thessaly,"tagging=""Magnetes"" commenting=""Commander: Prothoos"" coordinates=""23.0465058, 39.43722""",https://pleiades.stoa.org/places/541021
urn:cite2:hmt:place.v1:place262,Paphlagonia,Region on north coast of Anatolia,"tagging=""Paphlagonians"" commenting=""Commander: Pylaimenes"" coordinates=""33.238550216667, 41.448462966667""",https://pleiades.stoa.org/places/845034
urn:cite2:exploreHomer:place.v1:place87,Halikon,"An ancient settlement, attested by literary or documentary sources, whose precise location cannot be determined today","tagging=""Halizoni"" commenting=""Commanders: Odios, Epistrophos""",https://pleiades.stoa.org/places/652339
urn:cite2:hmt:place.v1:place160,Troezen,"a town in Argolis, near the shore of the Saronic gulf","tagging=""Argolis"" commenting=""Commanders: Diomedes, Sthenelos, Euryalos"" coordinates=""23.34845, 37.50303""",https://pleiades.stoa.org/places/570756
urn:cite2:exploreHomer:place.v1:place88,Stratie (island),"An ancient place, cited: BAtlas 58 unlocated Stratie Ins.","tagging=""Arcadians"" commenting=""Commander: Agapenor""",https://pleiades.stoa.org/places/573535
urn:cite2:hmt:place.v1:place120,Miletus,city in the Anatolia province of modern-day Turkey,"tagging=""Carians"" commenting=""Commander: Nastes"" coordinates=""27.2774885, 37.5292362""",https://pleiades.stoa.org/places/599799
urn:cite2:hmt:place.v1:place148,Orchomenus,"ancient city on Lake Copais in Boeotia, associated with the Minyans","tagging=""Orchomenos"" commenting=""Commanders: Askalaphos, Ialmenos"" coordinates=""22.959486, 38.495082""",https://pleiades.stoa.org/places/540987
urn:cite2:exploreHomer:place.v1:place89,Antrum,"An ancient place, cited: BAtlas 8 unlocated Antrum fl.","tagging=""Phylake"" commenting=""Commander: Podarkes""",https://pleiades.stoa.org/places/83813
urn:cite2:hmt:place.v1:place211,Meliboea,town in Magnesia,"tagging=""Methonians"" commenting=""Commander: Philoktetes""",https://pleiades.stoa.org/places/543784
urn:cite2:hmt:place.v1:place150,Locris Ozolia,"home of the Ozolae, tribe of Locrians","coordinates=""21.75, 38.25""",https://pleiades.stoa.org/places/540919
urn:cite2:hmt:place.v1:place181,Eteonus,a town in Boeotia,"tagging=""Boeotians"" commenting=""Commanders: Arkesilaos, Prothoenor, Klonios""",https://pleiades.stoa.org/places/543704
urn:cite2:hmt:place.v1:place149,Hyampolis,"town in Phocis, on the Cephissus","tagging=""Phocaeans"" commenting=""Commanders: Schedios, Epistrophos"" coordinates=""22.905228, 38.596346""",https://pleiades.stoa.org/places/540820
urn:cite2:hmt:place.v1:place317,Calliarus,town in Locris,"tagging=""Locrians"" commenting=""Commander: Ajax Oileus"" coordinates=""23.063388, 38.673354""",https://pleiades.stoa.org/places/540847
urn:cite2:exploreHomer:place.v1:place1,Phocaea,"An ancient settlement of Asia Minor, modern Foça in Turkey.","tagging=""Phocaeans"" commenting=""Commanders: Schedios, Epistrophos"" coordinates=""26.75261, 38.6684""",https://pleiades.stoa.org/places/550823
urn:cite2:hmt:place.v1:place163,Mases,"a town in Argolis, near Hermione","tagging=""Argolis"" commenting=""Commanders: Diomedes, Sthenelos, Euryalos"" coordinates=""23.142191, 37.417868""",https://pleiades.stoa.org/places/570463
urn:cite2:exploreHomer:place.v1:place33,Helos,"An ancient place, cited: BAtlas 56 C4 Helos","tagging=""Pylos"" commenting=""Commander: Nestor"" coordinates=""26.361312, 38.574035""",https://pleiades.stoa.org/places/550568
urn:cite2:hmt:place.v1:place352,Parrasia,"or Parrhassia, a town in Arcadia","tagging=""Arcadians"" commenting=""Commander: Agapenor"" coordinates=""22.25, 37.25""",https://pleiades.stoa.org/places/570564
urn:cite2:hmt:place.v1:place121,Meander,river of Caria,"tagging=""Carians"" commenting=""Commander: Nastes"" coordinates=""27.4713446, 37.6220196""",https://pleiades.stoa.org/places/599777
urn:cite2:exploreHomer:place.v1:place90,Iton?,"An ancient place, cited: BAtlas 55 D2 Iton?","tagging=""Phylake"" commenting=""Commander: Podarkes"" coordinates=""22.71106, 39.164654""",https://pleiades.stoa.org/places/540842
urn:cite2:hmt:place.v1:place252,Aesepus,a river that flows from Mt Ida near Troy,"tagging=""Teleans"" coordinates=""27.75, 40.25""",https://pleiades.stoa.org/places/511141
urn:cite2:exploreHomer:place.v1:place91,Poliochne,"A Bronze Age settlement on the island of Lemnos, Poliochne pre-dates Troy I and shows influence from the Greek mainland during Early Helladic II (ca. 2500 BC). Mycenaean horizons have also been identified.","coordinates=""25.3430314, 39.8537366""",https://pleiades.stoa.org/places/422676686
