urn,label,description,link
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:0,Amphitrite,Oceanid of Greek mythology,https://en.wikipedia.org/wiki/Amphitrite
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:1,Artemis,Deity in ancient Greek religion and myth,https://en.wikipedia.org/wiki/Artemis
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:2,Athena,Ancient Greek goddess of wisdom,https://en.wikipedia.org/wiki/Athena
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:3,Atreus,"King of Mycenae, father of Agamemnon and Menelaus",https://en.wikipedia.org/wiki/Atreus
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:4,Boreas,the Greek god of the cold north wind and the bringer of winter,https://en.wikipedia.org/wiki/Anemoi#Boreas
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:5,Cadmus,"Greek mythology character, founder of Thebes",https://en.wikipedia.org/wiki/Cadmus
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:6,Calypso,nymph in Homer's ''Odyssey'',https://en.wikipedia.org/wiki/Calypso_(mythology)
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:7,Demeter,"Greek goddess of the harvest, grains, and agriculture",https://en.wikipedia.org/wiki/Demeter
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:8,Eos,Greek goddess of the dawn,https://en.wikipedia.org/wiki/Eos
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:9,Hermes,"ancient Greek god of boundaries, roads, merchants, cunning, and thieves",https://en.wikipedia.org/wiki/Hermes
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:10,Iasion,,https://en.wikipedia.org/wiki/Iasion
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:11,Ino,,https://en.wikipedia.org/wiki/Ino_(Greek_mythology)
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:12,Laertes,legendary king of Ithaca,https://en.wikipedia.org/wiki/Laertes
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:13,Oceanus,"Ancient Greek god of the earth-encircling river, Oceanos",https://en.wikipedia.org/wiki/Oceanus
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:14,Odysseus,Legendary Greek king of Ithaca,https://en.wikipedia.org/wiki/Odysseus
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:15,Orion,Giant huntsman in Greek mythology,https://en.wikipedia.org/wiki/Orion_(mythology)
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:16,Peleus,Mythical character,https://en.wikipedia.org/wiki/Peleus
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:17,Penelope,Wife of Odysseus in Greek mythology,https://en.wikipedia.org/wiki/Penelope
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:18,Poseidon,"Ancient Greek god of the sea, earthquakes and horses",https://en.wikipedia.org/wiki/Poseidon
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:19,Telemachus,Mythological son of Odysseus,https://en.wikipedia.org/wiki/Telemachus
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:20,Tithonus,,https://en.wikipedia.org/wiki/Tithonus
urn:cite2:beyond-translation.scaife-viewer.org:pers.v1:21,Zeus,Greek king of the gods and god of the sky,https://en.wikipedia.org/wiki/Zeus